Category,Key,Value,Extra,Comment
address,5UDkSa5Q9bWDQFndFZRGsTbG4xZyKsFPCwk5xeQYD664,Airdrop recipient,,
address,BGdWXLp9UpSVWcJtSC3FKsr9xTN6czffak5zrLmNKu7S,Airdrop recipient,,
address,FBhtEYY3wKg7Nf3ABtVvH6wVa3pQAzLUPn4Nn8eLMfPh,Airdrop recipient,,
address,72zjQApvx3wR7xugCoeuyzBnB6NeX8RFAUXMe9h2tv1y,Airdrop recipient,,
address,9B131eTXHsQZKVdhsiFSk3DCFUKinHpuENP47qauxP8X,Airdrop recipient,,
address,4wZ6Hazsaa8fAxKwkkjjD8bE8sD1LTWy3DYshgCMJ1kF,Airdrop recipient,,
address,H6Z9Chh1TiQ7WxmDxycGbQNomyvKSF35yAWaDPwxVCiE,Airdrop recipient,,
address,BaAXeiC25wjtTSapTGx4oePqLGu2b2mgfWnd3VPUeyWG,Airdrop recipient,,
address,AFRBiKpaMm1uL2fbYjneAU8UH4iqwJ8rbrSwBVKSSPin,Airdrop recipient,,
address,5wJwk8gau6y8VnPQsnzrPxV91RavWrYZJcmcESrj9itq,Airdrop recipient,,
address,55MYNgmwgwr1o3EcjJo5dALGv8tmfLN3gZMbLWXajbcN,Airdrop recipient,,
address,8UfuZqJhYZ5NbPpWgfGuQuwdFEXQmg1LVSGsugeefHTw,Airdrop recipient,,
address,Czcg6bEaTnQ9D3NyZJTEVZfn5sbjA8JDbf7t2kwKScZf,Airdrop recipient,,
address,A8Bkh79KXXPVU8FhEyKJQcqcSnbm26CkPYD6YiJrbGr6,Airdrop recipient,,
address,4HAkAE9Y65mZ6Lg5crfQ8R1HMPzYaRCfqTuhjePuSx3n,Airdrop recipient,,
address,5FxGzYmHA3DhMtPnizBmJqHeUjH7sZ1ESpNT7YVNq95C,Airdrop recipient,,
address,ESd6hozNbdE4Fsa96dWrtVeREWkCksN7tpZQJ45kRDNX,Airdrop recipient,,
address,8jEoapyLxS1K79gU1nJa9VvtXFH43K5LRrEDx8RSZ5Q1,Airdrop recipient,,
